Thorlabs Beam
X-Y-Profiles Data Export
Version: 4.0 Build 128

Date MM-DD-YYYY;;01-05-2018
Time HH:MM:SS;;12:58:34

Device: BC106-VIS
S/N: M00283463

Pos X [pix];X;Pos Y [pix];Y;
-76;3.21;76;2.81;
-75;3.61;75;2.81;
-74;3.61;74;3.21;
-73;3.61;73;2.81;
-72;3.61;72;3.61;
-71;3.21;71;4.00;
-70;4.00;70;4.00;
-69;4.80;69;4.80;
-68;5.59;68;4.40;
-67;6.38;67;4.40;
-66;6.78;66;4.00;
-65;6.78;65;4.80;
-64;6.78;64;5.19;
-63;7.18;63;5.59;
-62;7.97;62;6.38;
-61;8.37;61;6.38;
-60;9.56;60;7.57;
-59;11.54;59;7.57;
-58;12.73;58;7.57;
-57;13.52;57;8.76;
-56;14.32;56;10.35;
-55;15.51;55;11.14;
-54;17.89;54;11.94;
-53;18.28;53;13.92;
-52;21.46;52;13.92;
-51;22.65;51;14.32;
-50;23.84;50;15.11;
-49;23.44;49;13.52;
-48;23.04;48;13.92;
-47;23.84;47;12.73;
-46;23.04;46;13.52;
-45;23.44;45;12.73;
-44;22.65;44;14.71;
-43;24.63;43;17.09;
-42;26.61;42;20.27;
-41;28.99;41;22.65;
-40;30.98;40;25.42;
-39;32.96;39;27.80;
-38;35.74;38;29.39;
-37;36.93;37;28.99;
-36;36.53;36;29.39;
-35;36.53;35;26.22;
-34;33.75;34;27.01;
-33;32.17;33;26.61;
-32;33.36;32;28.60;
-31;32.56;31;28.20;
-30;33.36;30;32.17;
-29;35.74;29;33.36;
-28;40.10;28;38.91;
-27;45.26;27;44.07;
-26;50.41;26;49.22;
-25;55.57;25;54.78;
-24;60.33;24;59.93;
-23;65.88;23;63.90;
-22;73.03;22;67.87;
-21;73.82;21;70.65;
-20;75.41;20;71.84;
-19;78.98;19;71.44;
-18;79.37;18;69.46;
-17;77.79;17;66.68;
-16;73.82;16;63.90;
-15;73.03;15;60.73;
-14;68.66;14;54.38;
-13;63.90;13;50.02;
-12;57.55;12;46.45;
-11;51.21;11;40.10;
-10;44.86;10;37.32;
-9;38.91;9;33.75;
-8;33.36;8;26.61;
-7;27.01;7;23.04;
-6;23.04;6;19.08;
-5;18.28;5;16.70;
-4;14.71;4;12.33;
-3;11.94;3;11.94;
-2;8.76;2;9.16;
-1;7.97;1;8.37;
0;8.37;0;8.37;
1;8.37;-1;8.76;
2;9.95;-2;10.75;
3;11.94;-3;13.52;
4;14.71;-4;17.49;
5;18.68;-5;22.25;
6;22.65;-6;25.42;
7;27.41;-7;30.98;
8;32.17;-8;38.91;
9;39.31;-9;42.88;
10;44.07;-10;48.43;
11;51.60;-11;51.21;
12;56.76;-12;55.97;
13;61.92;-13;61.12;
14;69.46;-14;62.31;
15;69.46;-15;67.47;
16;74.22;-16;70.65;
17;77.79;-17;73.82;
18;76.20;-18;75.41;
19;78.58;-19;71.44;
20;73.03;-20;72.63;
21;74.61;-21;70.25;
22;68.27;-22;67.08;
23;64.30;-23;62.71;
24;56.36;-24;57.55;
25;51.60;-25;52.79;
26;46.05;-26;47.64;
27;40.10;-27;44.07;
28;34.94;-28;40.10;
29;31.37;-29;36.93;
30;27.01;-30;34.94;
31;24.23;-31;33.75;
32;23.04;-32;32.96;
33;21.06;-33;32.56;
34;22.25;-34;32.96;
35;23.04;-35;34.15;
36;23.04;-36;33.75;
37;21.46;-37;31.37;
38;21.46;-38;28.99;
39;18.68;-39;26.61;
40;17.09;-40;22.65;
41;15.90;-41;20.27;
42;13.92;-42;18.28;
43;11.54;-43;17.09;
44;9.95;-44;17.09;
45;8.76;-45;17.89;
46;7.97;-46;17.89;
47;8.37;-47;19.08;
48;9.16;-48;19.08;
49;9.95;-49;17.49;
50;10.35;-50;16.30;
51;10.75;-51;14.32;
52;10.75;-52;12.33;
53;9.95;-53;10.35;
54;9.95;-54;9.16;
55;8.37;-55;8.37;
56;7.97;-56;8.76;
57;6.78;-57;8.37;
58;5.99;-58;7.18;
59;5.19;-59;6.38;
60;4.40;-60;5.99;
61;4.00;-61;5.59;
62;3.61;-62;4.40;
63;3.61;-63;4.40;
64;3.61;-64;4.00;
65;3.21;-65;3.61;
66;2.42;-66;3.61;
67;2.81;-67;3.21;
68;2.42;-68;2.42;
69;2.42;-69;2.02;
70;2.81;-70;2.42;
71;2.42;-71;2.02;
72;1.62;-72;2.02;
73;1.23;-73;2.42;
74;1.23;-74;2.42;
75;1.23;-75;2.02;

